canonical_song_id,canonical_title,canonical_artist,canonical_entry_count,alias_song_title,alias_artist,alias_entry_count,week_count,first_chart_date,last_chart_date
2564,Stay For a While,Sons of Funk,32,Stay For a While,Sons of Funk,23,23,2016-02-09,2018-11-27
2564,Stay For a While,Sons of Funk,32,Stay For A While,Sons of Funk,8,8,2016-02-16,2018-02-27
2564,Stay For a While,Sons of Funk,32,Stay for A While,Sons of Funk,1,1,2016-02-02,2016-02-02
3114,Where the Wild Things Are,Jake&Papa,32,Where the Wild Things Are,Jake&Papa,29,29,2015-01-27,2015-08-18
3114,Where the Wild Things Are,Jake&Papa,32,Where The Wild Things Are,Jake&Papa,2,2,2017-11-28,2017-12-05
3114,Where the Wild Things Are,Jake&Papa,32,Where the Wild Things Are,Jake & Papa,1,1,2015-06-30,2015-06-30
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",21,21,2003-03-18,2019-01-29
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want To Do Anything (remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",5,5,2004-12-14,2005-01-11
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want To Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",1,1,2005-01-18,2005-01-18
3093,What's a Man to Do,Keith Sweat,27,What's a Man to Do,Keith Sweat,19,19,2008-07-01,2009-05-19
3093,What's a Man to Do,Keith Sweat,27,What's A Man to Do,Keith Sweat,6,6,2008-05-20,2008-06-24
3093,What's a Man to Do,Keith Sweat,27,What's A Man To Do,Keith Sweat,2,2,2019-11-05,2019-11-12
1485,Just The 2 of Us,Keith Sweat feat. Takiya Mason,26,Just The 2 of Us,Keith Sweat feat. Takiya Mason,20,20,2016-08-09,2020-10-11
1485,Just The 2 of Us,Keith Sweat feat. Takiya Mason,26,Just The 2 Of Us,Keith Sweat feat. Takiya Mason,5,5,2018-06-26,2018-07-24
1485,Just The 2 of Us,Keith Sweat feat. Takiya Mason,26,Just the 2 Of Us,Keith Sweat feat. Takiya Mason,1,1,2016-08-16,2016-08-16
691,Don't Let the Music Industry Fool You!!,Lil' Flip,25,Don't Let the Music Industry Fool You!!,Lil' Flip,18,18,2014-11-04,2015-12-08
691,Don't Let the Music Industry Fool You!!,Lil' Flip,25,Don't Let the Music Industry Fool You!!!,Lil' Flip,4,4,2014-11-25,2015-01-27
691,Don't Let the Music Industry Fool You!!,Lil' Flip,25,Don't Let The Music Industry Fool You!!,Lil' Flip,3,3,2014-11-18,2020-11-03
2434,Six In Da Morning,Avant feat. Sean Don,24,Six In Da Morning,Avant feat. Sean Don,14,14,2007-10-02,2018-10-30
2434,Six In Da Morning,Avant feat. Sean Don,24,Six In da Morning,Avant feat. Sean Don,9,9,2017-12-19,2018-02-13
2434,Six In Da Morning,Avant feat. Sean Don,24,Six in Da Morning,Avant feat. Sean Don,1,1,2007-09-25,2007-09-25
2446,Slip n' Slide,Danny Boy feat. Ginuwine,20,Slip n' Slide,Danny Boy feat. Ginuwine,16,16,2011-09-13,2012-02-14
2446,Slip n' Slide,Danny Boy feat. Ginuwine,20,Slip N' Slide,Danny Boy feat. Ginuwine,3,3,2011-10-25,2018-07-10
2446,Slip n' Slide,Danny Boy feat. Ginuwine,20,Slip 'n Slide,Danny Boy feat. Ginuwine,1,1,2011-09-06,2011-09-06
1503,Keep You In Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,19,Keep You In Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,17,17,2016-12-06,2020-04-07
1503,Keep You In Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,19,Keep You In Mind (Remix),"Guordan Banks feat. Chris Brown, Bryson Tiller",1,1,2016-12-13,2016-12-13
1503,Keep You In Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,19,Keep You in Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,1,1,2017-01-24,2017-01-24
2431,Sippin' on Some Syrup,Three 6 Mafia feat. UGK,17,Sippin' on Some Syrup,Three 6 Mafia feat. UGK,14,14,2003-10-14,2025-03-04
2431,Sippin' on Some Syrup,Three 6 Mafia feat. UGK,17,Sippin' On Some Syrup,Three 6 Mafia feat. UGK,2,2,2017-02-14,2017-02-21
2431,Sippin' on Some Syrup,Three 6 Mafia feat. UGK,17,Sippin' on Some Syrup,Three-6 Mafia feat. UGK,1,1,2011-07-26,2011-07-26
672,"Doggie Style - From ""Above the Rim""",D.J. Rogers,15,"Doggie Style - From ""Above the Rim""",D.J. Rogers,6,6,2025-11-04,2025-12-09
672,"Doggie Style - From ""Above the Rim""",D.J. Rogers,15,Doggie Style from Above the Rim,D.J. Rogers,6,6,2021-02-16,2021-03-23
672,"Doggie Style - From ""Above the Rim""",D.J. Rogers,15,"Doggie Style - from ""Above the Rim""",D.J. Rogers,3,3,2025-05-20,2025-06-10
1137,"Homie, Lover, Friend (Looking for My Homie Mix)",R. Kelly feat. LL Cool J,14,"Homie, Lover, Friend (Looking for My Homie Mix)",R. Kelly feat. LL Cool J,12,12,2007-11-06,2008-01-29
1137,"Homie, Lover, Friend (Looking for My Homie Mix)",R. Kelly feat. LL Cool J,14,Homie Lover Friend (Looking For My Homie Mix),R. Kelly feat. LL Cool J,1,1,2005-07-12,2005-07-12
1137,"Homie, Lover, Friend (Looking for My Homie Mix)",R. Kelly feat. LL Cool J,14,"Homie, Lover, Friend (Looking For My Homie Mix)",R. Kelly feat. LL Cool J,1,1,2022-05-17,2022-05-17
1482,Just One of Them Thangs,Keith Sweat feat. Gerald Levert,14,Just One of Them Thangs,Keith Sweat feat. Gerald Levert,6,6,2024-09-17,2024-10-22
1482,Just One of Them Thangs,Keith Sweat feat. Gerald Levert,14,Just One Of Them Thangs,Keith Sweat feat. Gerald Levert,4,4,2023-08-22,2023-09-12
1482,Just One of Them Thangs,Keith Sweat feat. Gerald Levert,14,Just One of Them Thangs,Keith Sweat feat. Gerald LeVert,4,4,2005-10-04,2008-04-15
2847,This Lil' Game We Play,Subway feat. 702,14,This Lil' Game We Play,Subway feat. 702,12,12,2006-02-28,2015-11-10
2847,This Lil' Game We Play,Subway feat. 702,14,This Lil' Game We Play,Subway f/702,1,1,2006-04-11,2006-04-11
2847,This Lil' Game We Play,Subway feat. 702,14,This Lil' Game We Play,Subway featuring 702,1,1,2015-11-03,2015-11-03
2996,Waiting for a Girl Like You,Foreigner,8,Waiting for a Girl Like You,Foreigner,5,5,2004-06-01,2004-08-17
2996,Waiting for a Girl Like You,Foreigner,8,Waiting For a Girl Like You,Foreigner,2,2,2012-02-21,2012-03-06
2996,Waiting for a Girl Like You,Foreigner,8,Waiting For A Girl Like You,Foreigner,1,1,2012-02-28,2012-02-28
1008,Gonna Give It To Ya (from Above the Rim),Aaron Hall; Jewell,7,Gonna Give It To Ya (from Above the Rim),Aaron Hall; Jewell,4,4,2014-01-07,2014-06-24
1008,Gonna Give It To Ya (from Above the Rim),Aaron Hall; Jewell,7,"Gonna Give It To Ya - from ""Above the Rim""",Aaron Hall; Jewell,2,2,2019-05-28,2019-06-04
1008,Gonna Give It To Ya (from Above the Rim),Aaron Hall; Jewell,7,"Gonna Give It To Ya - From ""Above the Rim""",Aaron Hall; Jewell,1,1,2023-06-20,2023-06-20
2774,The Rain,Oran 'Juice' Jones,7,The Rain,Oran 'Juice' Jones,5,5,2023-01-10,2023-02-14
2774,The Rain,Oran 'Juice' Jones,7,The Rain,"Oran ""Juice"" Jones",1,1,2023-01-17,2023-01-17
2774,The Rain,Oran 'Juice' Jones,7,The Rain,Oran Juice Jones,1,1,2023-01-03,2023-01-03
420,Can I Live,Sisqó feat. The Dragon Family,5,Can I Live,Sisqó feat. The Dragon Family,3,3,2005-10-18,2005-11-01
420,Can I Live,Sisqó feat. The Dragon Family,5,Can I Live?,Sisqò feat. The Dragon Family,1,1,2015-01-27,2015-01-27
420,Can I Live,Sisqó feat. The Dragon Family,5,Can I Live?,Sisqó feat. The Dragon Family,1,1,2015-01-20,2015-01-20
2141,Pumps and a Bump,Hammer,3,Pumps And A Bump,Hammer,1,1,2014-11-04,2014-11-04
2141,Pumps and a Bump,Hammer,3,Pumps and A Bump,Hammer,1,1,2004-12-28,2004-12-28
